['bus_47.txt', '1946.txt', 0.5670731707317073]
['bus_53.txt', '1963.txt', 0.5315315315315315]
['bus_52.txt', '1979.txt', 0.6097560975609756]
['bus_46.txt', '1964.txt', 0.5655737704918032]
['bus_50.txt', '1983.txt', 0.5112107623318386]
['bus_44.txt', '1069.txt', 0.4925925925925926]
['bus_48-SD.txt', '1983.txt', 0.3717948717948718]
['bus_41.txt', '1080.txt', 0.6440677966101694]
['bus_54.txt', '2020.txt', 0.4147465437788018]
['bus_30b.txt', '1992.txt', 0.40931372549019607]
['bus_42.txt', '1920.txt', 0.6347826086956522]
['bus_43.txt', '1933.txt', 0.5835694050991501]
['bus_18.txt', '2022.txt', 0.7391304347826086]
['bus_30.txt', '1960.txt', 0.4782608695652174]
['bus_19.txt', '1922.txt', 0.5371621621621622]
['bus_27.txt', '1076.txt', 0.6586102719033232]
['bus_36.txt', '1975.txt', 0.5395894428152492]
['bus_23.txt', '1923.txt', 0.6785714285714286]
['tram_9.txt', '2204.txt', 0.6297376093294461]
['tram_8.txt', '134.txt', 0.5912698412698413]
['bus_3b.txt', '1083.txt', 0.8050847457627118]
['bus_20.txt', '2003.txt', 0.5876288659793815]
['tram_6.txt', '2213.txt', 0.6069651741293532]
['tram_7.txt', '403.txt', 0.4365079365079365]
['bus_43c.txt', '1936.txt', 0.541371158392435]
['tram_3.txt', '458.txt', 0.8235294117647058]
['bus_28.txt', '1937.txt', 0.5517241379310345]
['tram_1.txt', '143.txt', 0.6270627062706271]
['bus_5.txt', '288.txt', 0.3395348837209302]
['bus_29.txt', '1989.txt', 0.445859872611465]
['bus_48.txt', '1983.txt', 0.5480769230769231]
['bus_49.txt', '1921.txt', 0.6896551724137931]
['tram_11.txt', '296.txt', 0.5372168284789643]
['tram_13.txt', '143.txt', 0.6378737541528239]
