['tram 13', '143.txt', 0.7192691029900332]
['bus 43', '1933.txt', 0.7195467422096318]
['bus 30', '1954.txt', 0.6770186335403726]
['bus 42', '1933.txt', 0.7130434782608696]
['bus 46', '1964.txt', 0.5983606557377049]
['bus 30b', '1954.txt', 0.6127450980392157]
['bus 28', '1937.txt', 0.5890804597701149]
['bus 41', '1080.txt', 0.7050847457627119]
['tram 8', '143.txt', 0.6762820512820513]
['tram 7', '401.txt', 0.6192893401015228]
['bus 20', '2003.txt', 0.7360824742268042]
['bus 43c', '1936.txt', 0.6643026004728132]
['tram 11', '296.txt', 0.627831715210356]
['tram 6', '456.txt', 0.681592039800995]
['bus 5', '401.txt', 0.3287037037037037]
['tram 9', '2204.txt', 0.7667638483965015]
['bus 27', '1076.txt', 0.7069486404833837]
['bus 29', '1976.txt', 0.9210526315789473]
['bus 44', '1069.txt', 0.5962962962962963]
['bus 48-SD', '2001.txt', 0.5192307692307693]
['bus 49', '1963.txt', 0.7758620689655172]
['tram 1', '143.txt', 0.7128712871287128]
['bus 36', '1975.txt', 0.6187683284457478]
['bus 50', '1983.txt', 0.547085201793722]
['bus 19', '1930.txt', 0.6418918918918919]
['bus 52', '1973.txt', 0.6780487804878049]
['bus 53', '1963.txt', 0.6036036036036037]
['bus 23', '1923.txt', 0.7440476190476191]
['bus 48', '2001.txt', 0.6442307692307693]
['bus 47', '1946.txt', 0.7682926829268293]
['bus 54', '2020.txt', 0.5345622119815668]
['bus 3b', '1086.txt', 0.8898305084745762]
['tram 3', '458.txt', 0.8571428571428571]
['bus 18', '2022.txt', 0.7717391304347826]
