['tram 13', '.2207.txt', 0.5415282392026578]
['bus 43', '.1953.txt', 0.4447592067988669]
['bus 30', '.1981.txt', 0.5062111801242236]
['bus 42', '.1932.txt', 0.527536231884058]
['bus 46', '.1953.txt', 0.5355191256830601]
['bus 30b', '.1957.txt', 0.4215686274509804]
['bus 28', '.1951.txt', 0.47701149425287354]
['bus 41', '.1055.txt', 0.49830508474576274]
['tram 8', '.380.txt', 0.5480769230769231]
['tram 7', '.*2220.txt', 0.4593908629441624]
['bus 20', '.2000.txt', 0.4556701030927835]
['bus 43c', '.1953.txt', 0.3877068557919622]
['tram 11', '.436.txt', 0.48220064724919093]
['tram 6', '.2201.txt', 0.6119402985074627]
['bus 5', '.285.txt', 0.2175925925925926]
['tram 9', '.423.txt', 0.5830903790087464]
['bus 27', '.1973.txt', 0.4169184290030212]
['bus 29', '.1976.txt', 0.7236842105263158]
['bus 44', '.1925.txt', 0.42592592592592593]
['bus 48-SD', '.1995.txt', 0.41025641025641024]
['bus 49', '.1054.txt', 0.7758620689655172]
['tram 1', '.104.txt', 0.5264026402640264]
['bus 36', '.1959.txt', 0.501466275659824]
['bus 50', '.1983.txt', 0.37668161434977576]
['bus 19', '.1979.txt', 0.4527027027027027]
['bus 52', '.1940.txt', 0.5317073170731708]
['bus 53', '.1054.txt', 0.5495495495495496]
['bus 23', '.1972.txt', 0.6130952380952381]
['bus 48', '.1995.txt', 0.5576923076923077]
['bus 47', '.1941.txt', 0.5426829268292683]
['bus 54', '.2020.txt', 0.3271889400921659]
['bus 3b', '.1091.txt', 0.7627118644067796]
['tram 3', '.420.txt', 0.773109243697479]
['bus 18', '.2022.txt', 0.6086956521739131]
