['tram 13', '.802.txt', 0.07475083056478406]
['bus 43', '.1959.txt', 0.0679886685552408]
['bus 30', '.1932.txt', 0.07142857142857142]
['bus 42', '.1959.txt', 0.06666666666666667]
['bus 46', '.1970.txt', 0.0546448087431694]
['bus 30b', '.1966.txt', 0.04822695035460993]
['bus 28', '.1926.txt', 0.08045977011494253]
['bus 41', '.1081.txt', 0.06779661016949153]
['tram 8', '.802.txt', 0.0673076923076923]
['tram 7', '.296.txt', 0.0639386189258312]
['bus 20', '.2002.txt', 0.061855670103092786]
['bus 43c', '.1970.txt', 0.061465721040189124]
['tram 11', '.438.txt', 0.07119741100323625]
['tram 6', '.453.txt', 0.09950248756218906]
['bus 5', '.414.txt', 0.041666666666666664]
['tram 9', '.435.txt', 0.06705539358600583]
['bus 27', '.1053.txt', 0.0755287009063444]
['bus 29', '.1976.txt', 0.06666666666666667]
['bus 44', '.1060.txt', 0.06666666666666667]
['bus 48-SD', '.1996.txt', 0.057692307692307696]
['bus 49', '.1996.txt', 0.11290322580645161]
['tram 1', '.802.txt', 0.07425742574257425]
['bus 36', '.1983.txt', 0.06451612903225806]
['bus 50', '.1996.txt', 0.03587443946188341]
['bus 19', '.1940.txt', 0.05405405405405406]
['bus 52', '.1968.txt', 0.08292682926829269]
['bus 53', '.1996.txt', 0.12612612612612611]
['bus 23', '.1974.txt', 0.09523809523809523]
['bus 48', '.1996.txt', 0.07692307692307693]
['bus 47', '.1930.txt', 0.06097560975609756]
['bus 54', '.2020.txt', 0.03225806451612903]
['bus 3b', '.1083.txt', 0.1440677966101695]
['tram 3', '.453.txt', 0.19327731092436976]
['bus 18', '.2022.txt', 0.17391304347826086]
